
10.8515229517,106.7713333200
10.8515446050,106.7713347567
10.8515670850,106.7713370483
10.8515923233,106.7713390983
10.8516179117,106.7713419467
10.8516399817,106.7713442400
10.8516645767,106.7713471450
10.8516888400,106.7713498883
10.8517140400,106.7713523467
10.8517379967,106.7713557767
10.8517653700,106.7713590283
10.8517908883,106.7713622100
10.8518160967,106.7713651083
10.8518396150,106.7713675667
10.8518665983,106.7713706917
10.8518896083,106.7713729367
10.8519148150,106.7713756033
10.8519399600,106.7713788683
10.8519671150,106.7713821350
10.8519908450,106.7713846683

