10.8507759083,106.7715805667
10.8507758983,106.7715803450
10.8507759617,106.7715803500
10.8507759733,106.7715803300
10.8507759433,106.7715801633
10.8507759483,106.7715797967
10.8507757283,106.7715775283
10.8507753650,106.7715725233
10.8507747000,106.7715657467
10.8507738600,106.7715585167
10.8507730333,106.7715507783
10.8507718733,106.7715426050
10.8507705883,106.7715335017
10.8507694483,106.7715247567
10.8507682217,106.7715158317
10.8507666267,106.7715055183
10.8507653217,106.7714952167
10.8507639283,106.7714847267
10.8507624483,106.7714733650
10.8507613433,106.7714631167
10.8507596933,106.7714528133
10.8507582633,106.7714426267
10.8507573833,106.7714313133
10.8507570250,106.7714205650
10.8507574000,106.7714095967
10.8507577917,106.7714000067
10.8507588317,106.7713899200
10.8507606367,106.7713783617
10.8507636467,106.7713675617
10.8507680750,106.7713562767
10.8507739250,106.7713446150
10.8507827317,106.7713331000
10.8507915483,106.7713237350
10.8508014533,106.7713156317
10.8508123817,106.7713090467
10.8508240700,106.7713038800
10.8508362767,106.7712999083
10.8508493017,106.7712967967
10.8508627533,106.7712953333
10.8508778650,106.7712952200
10.8508921817,106.7712956867
10.8509068000,106.7712962950
10.8509217783,106.7712972683
10.8509386050,106.7712984767
10.8509542117,106.7712996717
10.8509711100,106.7713010567
10.8509866900,106.7713020933
10.8510037933,106.7713036617
10.8510196033,106.7713049733
10.8510368750,106.7713065083
10.8510527950,106.7713079783
10.8510699083,106.7713095333
10.8510854017,106.7713111183
10.8511022917,106.7713127417
10.8511169350,106.7713141800
10.8511325233,106.7713157283
10.8511469167,106.7713173900
10.8511616117,106.7713189000
10.8511763400,106.7713204383
10.8511925417,106.7713224250
10.8512074500,106.7713239867
10.8512236583,106.7713254433
10.8512383333,106.7713266467
10.8512541500,106.7713283917
10.8512684083,106.7713305450
10.8512834750,106.7713336450
10.8512972267,106.7713372433
10.8513095383,106.7713407433
10.8513207450,106.7713449167
10.8513314833,106.7713494650
10.8513415217,106.7713549367
10.8513502700,106.7713602417
10.8513591533,106.7713661450
10.8513686683,106.7713735000
10.8513770867,106.7713820117
10.8513846400,106.7713918283
10.8513912733,106.7714026500
10.8513964167,106.7714163333
10.8513994983,106.7714299517
10.8514004817,106.7714440183
10.8513998100,106.7714596550
10.8513968967,106.7714734117
10.8513932033,106.7714869700
10.8513892400,106.7715028183
10.8513853950,106.7715175883
10.8513809883,106.7715326467
10.8513762483,106.7715500700
10.8513715600,106.7715667467
10.8513668217,106.7715837233
10.8513616283,106.7716015800
10.8513571833,106.7716172050
10.8513527033,106.7716327967
10.8513476433,106.7716497150
10.8513431500,106.7716652933
10.8513382933,106.7716829600
10.8513338300,106.7716995167
10.8513292533,106.7717160217
10.8513247300,106.7717323100
10.8513199683,106.7717498333
10.8513157883,106.7717659300
10.8513115683,106.7717836950
10.8513076900,106.7718001867
10.8513042333,106.7718186083
10.8513012133,106.7718351517
10.8512992350,106.7718534117
10.8512971000,106.7718703433
10.8512951167,106.7718879567
10.8512928000,106.7719062133
10.8512905833,106.7719264700
10.8512883567,106.7719447133
10.8512859367,106.7719641667
10.8512839250,106.7719820817
10.8512824417,106.7720002200
10.8512802300,106.7720206583
10.8512781700,106.7720392317
10.8512762667,106.7720572367
10.8512742017,106.7720746483
10.8512718317,106.7720932900
10.8512697567,106.7721106917
10.8512676833,106.7721286067
10.8512650633,106.7721487617
10.8512626467,106.7721678233
10.8512603767,106.7721890200
10.8512576233,106.7722082733
10.8512558450,106.7722273533
10.8512537117,106.7722468200
10.8512513267,106.7722683667
10.8512492983,106.7722874300
10.8512474733,106.7723052483
10.8512452950,106.7723237250
10.8512435933,106.7723406617
10.8512416083,106.7723575383
10.8512398900,106.7723748533
10.8512377733,106.7723920850
10.8512354683,106.7724088067
10.8512332450,106.7724266283
10.8512311450,106.7724428550
10.8512292833,106.7724599200
10.8512273183,106.7724756700
10.8512251767,106.7724925933
10.8512234250,106.7725081517
10.8512216500,106.7725248133
10.8512197217,106.7725397483
10.8512181433,106.7725544683
10.8512179433,106.7725702700
10.8512184033,106.7725844617
10.8512210383,106.7725990683
10.8512250367,106.7726145450
10.8512295933,106.7726269300
10.8512344233,106.7726381183
10.8512396567,106.7726477433
10.8512460850,106.7726570583
10.8512534633,106.7726656733
10.8512621550,106.7726736250
10.8512722250,106.7726810350
10.8512837950,106.7726869850
10.8512956467,106.7726918233
10.8513094300,106.7726951383
10.8513234033,106.7726975400
10.8513381117,106.7726998817
10.8513548950,106.7727025267
10.8513704567,106.7727043100
10.8513863817,106.7727063767
10.8514038933,106.7727083633
10.8514201567,106.7727103467
10.8514365167,106.7727125067
10.8514529733,106.7727142300
10.8514707700,106.7727167417
10.8514871500,106.7727186117
10.8515034850,106.7727202083
10.8515196250,106.7727221267
10.8515313300,106.7727232433
10.8515437950,106.7727245800
10.8515587817,106.7727261433
10.8515730750,106.7727275967
10.8515877350,106.7727290933
10.8516020867,106.7727307183
10.8516167717,106.7727321733
10.8516283300,106.7727334417
10.8516400267,106.7727346967
10.8516518400,106.7727357050
10.8516643983,106.7727369250
10.8516778133,106.7727381900
10.8516899717,106.7727395900
10.8517021683,106.7727410483
10.8517153550,106.7727427683
10.8517306883,106.7727446467
10.8517459700,106.7727467500
10.8517630017,106.7727491367
10.8517788750,106.7727512217
10.8517950633,106.7727532017
10.8518112467,106.7727552883
10.8518274283,106.7727574283
10.8518440300,106.7727590667
10.8518622267,106.7727612300
10.8518791167,106.7727629950
10.8518958733,106.7727649600
10.8519140800,106.7727668900
10.8519307767,106.7727689133
10.8519474733,106.7727706467
10.8519655167,106.7727726867
10.8519818950,106.7727749883
10.8519991900,106.7727772117
10.8520127783,106.7727791333
10.8520289033,106.7727810700
10.8520474867,106.7727831267
10.8520645350,106.7727850583
10.8520830850,106.7727866600
10.8521000833,106.7727885633
10.8521167350,106.7727900467
10.8521328900,106.7727919600
10.8521483100,106.7727933567
10.8521651433,106.7727951883
10.8521808367,106.7727966700
10.8521974750,106.7727986483
10.8522129583,106.7728005117
10.8522291233,106.7728021317
10.8522435333,106.7728038483
10.8522573933,106.7728056250
10.8522709617,106.7728079300
10.8522842950,106.7728106467
10.8522974667,106.7728146233
10.8523084250,106.7728206150
10.8523178750,106.7728289333
10.8523255233,106.7728388833
10.8523308483,106.7728516817
10.8523327517,106.7728645967
10.8523329200,106.7728788783
10.8523313100,106.7728937650
10.8523285883,106.7729110283
10.8523263117,106.7729273400
10.8523243550,106.7729439800
10.8523218167,106.7729633700
10.8523194433,106.7729818000
10.8523173250,106.7730010200
10.8523152050,106.7730206350
10.8523130183,106.7730405733
10.8523087167,106.7730622250
10.8523080883,106.7730841350
10.8523062283,106.7731038667
10.8523038583,106.7731255567
10.8523016583,106.7731451383
10.8522996117,106.7731635167
10.8522971967,106.7731825550
10.8522953300,106.7731992183
10.8522937533,106.7732150933
10.8522920150,106.7732302750
10.8522904300,106.7732451933
10.8522884950,106.7732612783
10.8522868617,106.7732760600
10.8522852450,106.7732910667
10.8522836767,106.7733070400
10.8522819400,106.7733212933
10.8522798317,106.7733353183
10.8522772183,106.7733501067
10.8522735900,106.7733630900
10.8522695267,106.7733753700
10.8522644617,106.7733867733
10.8522568133,106.7733984967
10.8522483617,106.7734081867
10.8522385767,106.7734154817
10.8522274500,106.7734205367
10.8522136033,106.7734242933
10.8521998800,106.7734252200
10.8521847883,106.7734246900
10.8521673233,106.7734228967
10.8521501933,106.7734214583
10.8521328183,106.7734196050
10.8521134217,106.7734174400
10.8520953517,106.7734151550
10.8520768183,106.7734133800
10.8520564767,106.7734113750
10.8520378633,106.7734097033
10.8520176117,106.7734077833
10.8519988417,106.7734061383
10.8519785683,106.7734039100
10.8519606433,106.7734008100
10.8519431100,106.7733967867
10.8519243517,106.7733913533
10.8519067650,106.7733871567
10.8518885983,106.7733834233
10.8518700783,106.7733799283
10.8518497300,106.7733763217
10.8518309883,106.7733736050
10.8518125000,106.7733714183
10.8517927583,106.7733684400
10.8517750017,106.7733663650
10.8517576650,106.7733641467
10.8517404600,106.7733623483
10.8517214100,106.7733601567
10.8517031750,106.7733581233
10.8516842317,106.7733560700
10.8516652950,106.7733540633
10.8516463417,106.7733518517
10.8516258533,106.7733493867
10.8516066817,106.7733469583
10.8515872133,106.7733446083
10.8515663083,106.7733427133
10.8515481200,106.7733408750
10.8515304417,106.7733388500
10.8515113017,106.7733369400
10.8514937000,106.7733348067
10.8514746800,106.7733324550
10.8514575083,106.7733302933
10.8514390883,106.7733281000
10.8514222950,106.7733262300
10.8514055350,106.7733243267
10.8513873950,106.7733224333
10.8513709300,106.7733204667
10.8513545217,106.7733186933
