lat,lon
10.85324538,106.7715099983
10.853245375,106.7715099767
10.8532453633,106.77151
10.853245385,106.77150999
10.8532453733,106.77150998
10.853245405,106.7715100683
10.8532454467,106.771510085
10.853245485,106.771510085
10.85324546,106.771510055
10.853245385,106.7715099917
10.8532454833,106.77151007
10.8532454683,106.77151006
10.8532454583,106.7715100517
10.8532454417,106.7715100367
10.853245425,106.7715100717
10.8532393967,106.7715094783
10.8532388183,106.7715094617
10.85323818,106.7715094567
10.8532376483,106.77150939
10.853237035,106.7715093617
10.853236415,106.771509245
10.8532212217,106.7715086217
10.8532205167,106.7715086283
10.8532198183,106.771508585
10.85321899,106.771508505
10.8532181417,106.7715085317
10.8532021567,106.7715068633
10.853201375,106.7715067533
10.8532006183,106.7715066367
10.853199915,106.7715064367
10.85319912,106.7715064017
10.8531815017,106.77150489
10.8531807,106.77150466
10.8531798183,106.7715046517
10.8531790517,106.771504555
10.8531782833,106.7715044183
10.8531598067,106.771501415
10.85315907,106.7715012617
10.8531584983,106.7715014583
10.8531575617,106.7715013683
10.8531568483,106.771501435
10.8531395383,106.771499455
10.8531387383,106.7714993267
10.8531380167,106.7714992683
10.8531372583,106.7714991983
10.8531365267,106.7714991917
10.8531142433,106.771496855
10.853113365,106.7714967817
10.85311254,106.7714966867
10.853111715,106.7714965483
10.85311088,106.771496325
10.8531099817,106.7714962933
10.8530908067,106.77149372
10.8530899283,106.7714935417
10.8530890383,106.771493485
10.8530881483,106.771493365
10.85308714,106.77149326
10.8530620883,106.77149031
10.8530612083,106.7714900933
10.8530602983,106.7714899967
10.8530593967,106.771489775
10.8530585083,106.7714896333
10.85305762,106.7714895833
10.8530349333,106.771485605
10.8530340367,106.7714854017
10.8530330067,106.7714854267
10.85303211,106.7714853333
10.8530309983,106.7714851033
10.85300722,106.7714822933
10.8530062783,106.7714819833
10.8530053167,106.7714817983
10.8530041883,106.77148183
10.852979175,106.7714786667
10.8529779667,106.7714784783
10.852976815,106.77147829
10.8529755733,106.7714782283
10.8529744,106.7714781417
10.8529732567,106.7714780333
10.8529482117,106.7714750817
10.85294706,106.771475035
10.8529458833,106.7714749
10.8529446967,106.77147465
10.8529436317,106.7714746433
10.85291102,106.7714706617
10.8529096333,106.771470545
10.852908535,106.771470365
10.8529076217,106.7714700483
10.85290641,106.7714696783
10.8528785467,106.7714665317
10.8528773967,106.77146647
10.8528763533,106.7714664517
10.852875255,106.7714663433
10.8528741033,106.771466165
10.85285019,106.7714639833
10.8528489817,106.7714637017
10.85284785,106.7714635983
10.8528467817,106.7714634433
10.8528457117,106.7714632983
10.8528446067,106.7714631433
10.8528183333,106.771459995
10.8528170417,106.7714599533
10.85281584,106.7714597417
10.852814645,106.7714595967
10.85281343,106.77145951
10.8527844683,106.7714558867
10.85278319,106.7714558383
10.8527818367,106.7714558167
10.852780505,106.77145566
10.852779205,106.7714555217
10.852749405,106.771452065
10.852748095,106.77145201
10.8527467283,106.7714519067
10.852745385,106.771451705
10.8527440917,106.77145153
10.8527057133,106.7714478633
10.852704355,106.7714476333
10.852703055,106.7714473917
10.8527016633,106.7714472683
10.852700355,106.771447005
10.8526989717,106.7714469883
10.852667265,106.771443465
10.85266595,106.7714433533
10.85266446,106.771443195
10.852663005,106.7714430533
10.8526287017,106.7714377667
10.8526273117,106.771437605
10.8526256833,106.771437385
10.8526241767,106.771437435
10.8526228217,106.7714373233
10.8525909067,106.77143285
10.8525896517,106.771432775
10.8525882683,106.7714326883
10.8525869567,106.771432515
10.8525856083,106.77143239
10.8525843267,106.771432085
10.8525549267,106.7714291767
10.8525535683,106.7714289767
10.8525522667,106.7714289267
10.8525508017,106.7714287767
10.85254953,106.7714286967
10.85250902,106.77142472
10.852507595,106.7714245433
