10.8515711383,106.7727249533
10.8515906900,106.7727273633
10.8516087750,106.7727293617
10.8516269717,106.7727315700
10.8516469150,106.7727339967
10.8516656800,106.7727360583
10.8516860417,106.7727383967
10.8517046783,106.7727403767
10.8517249917,106.7727425750
10.8517440383,106.7727447683
10.8517633583,106.7727472100
10.8517845550,106.7727494800
10.8518041683,106.7727516483
10.8518240067,106.7727541850
10.8518441067,106.7727567583
10.8518664217,106.7727593683
10.8518866467,106.7727613633
10.8519069017,106.7727635450
10.8519289133,106.7727661867
10.8519491417,106.7727683367
10.8519695217,106.7727704983
10.8519918833,106.7727731767
10.8520118967,106.7727760950
10.8520322550,106.7727783533
10.8520525900,106.7727808833
10.8520753533,106.7727830583
10.8520962383,106.7727856417
10.8521174833,106.7727880583
10.8521411150,106.7727902400
10.8521629700,106.7727923900
10.8521860033,106.7727953617
10.8522067933,106.7727978633
10.8522293133,106.7728005250
10.8522505383,106.7728028800
10.8522720417,106.7728052917
10.8522961150,106.7728081183
10.8523183150,106.7728105717
10.8523401917,106.7728128867
10.8523638017,106.7728158817
10.8523854550,106.7728184600
10.8524089617,106.7728213083
10.8524307383,106.7728238933
10.8524548050,106.7728263983
10.8524767917,106.7728290667
10.8524986167,106.7728317250
10.8525223483,106.7728343067
10.8525437817,106.7728371267
10.8525668733,106.7728395067
10.8525881983,106.7728415867
10.8526094000,106.7728443967
10.8526324333,106.7728472400
10.8526532617,106.7728489583
10.8526740433,106.7728510450
10.8526942250,106.7728535900
10.8527160433,106.7728561100
10.8527358817,106.7728587150
10.8527556450,106.7728609833
10.8527770817,106.7728637117
10.8527961400,106.7728658817
10.8528149567,106.7728684350
10.8528350250,106.7728709700
10.8528527333,106.7728727050
10.8528694983,106.7728748183
10.8528874700,106.7728771817
10.8529039317,106.7728790967
10.8529203450,106.7728808717
10.8529331883,106.7728826217
10.8529450050,106.7728844317
10.8529540683,106.7728854867
10.8529601400,106.7728862017
10.8529633067,106.7728865567
10.8529633350,106.7728865450




