10.8513967000,106.7714989900
10.8513914683,106.7715219983
10.8513861517,106.7715432600
10.8513804833,106.7715647200
10.8513740300,106.7715861767
10.8513672583,106.7716097883
10.8513612517,106.7716317933
10.8513547567,106.7716558583
10.8513486300,106.7716778650
10.8513420200,106.7717017417
10.8513361683,106.7717230550
10.8513300850,106.7717434783
10.8513238450,106.7717659983
10.8513188433,106.7717868317
10.8513145367,106.7718069283
10.8513107833,106.7718259533
10.8513078717,106.7718447067
10.8513052767,106.7718637417
10.8513035900,106.7718810083
10.8513017367,106.7719005883
10.8512998550,106.7719190683
10.8512981250,106.7719395583
10.8512961567,106.7719585917
